기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2016.1/4	합계	10,282,821	5,053,675	5,229,146	1,280,268	564,129	716,139	1,274,296	561,136	713,160	5,972	2,993	2,979
2016.1/4	종로구	163,993	80,548	83,445	24,999	10,957	14,042	24,844	10,869	13,975	155	88	67
2016.1/4	중구	134,436	66,747	67,689	20,431	8,841	11,590	20,181	8,724	11,457	250	117	133
2016.1/4	용산구	247,297	120,607	126,690	35,912	15,138	20,774	35,492	14,884	20,608	420	254	166
2016.1/4	성동구	304,565	151,019	153,546	38,559	16,771	21,788	38,392	16,685	21,707	167	86	81
2016.1/4	광진구	374,798	182,951	191,847	40,764	18,191	22,573	40,570	18,095	22,475	194	96	98
2016.1/4	동대문구	373,657	185,627	188,030	52,965	23,435	29,530	52,779	23,350	29,429	186	85	101
2016.1/4	중랑구	418,341	208,235	210,106	54,687	24,211	30,476	54,597	24,169	30,428	90	42	48
2016.1/4	성북구	468,699	228,530	240,169	63,782	27,524	36,258	63,616	27,454	36,162	166	70	96
2016.1/4	강북구	333,615	163,819	169,796	53,023	22,962	30,061	52,921	22,914	30,007	102	48	54
2016.1/4	도봉구	352,521	173,342	179,179	49,161	21,765	27,396	49,115	21,741	27,374	46	24	22
2016.1/4	노원구	577,805	281,431	296,374	69,578	28,734	40,844	69,505	28,700	40,805	73	34	39
2016.1/4	은평구	501,242	244,103	257,139	70,311	30,597	39,714	70,141	30,517	39,624	170	80	90
2016.1/4	서대문구	326,746	157,763	168,983	47,319	19,997	27,322	46,961	19,828	27,133	358	169	189
2016.1/4	마포구	397,575	190,413	207,162	48,908	20,495	28,413	48,629	20,360	28,269	279	135	144
2016.1/4	양천구	487,368	241,190	246,178	50,905	22,492	28,413	50,774	22,421	28,353	131	71	60
2016.1/4	강서구	597,473	291,883	305,590	68,935	30,287	38,648	68,739	30,162	38,577	196	125	71
2016.1/4	구로구	454,252	227,913	226,339	54,405	25,043	29,362	53,724	24,694	29,030	681	349	332
2016.1/4	금천구	255,274	130,794	124,480	31,449	14,314	17,135	31,071	14,116	16,955	378	198	180
2016.1/4	영등포구	417,209	209,941	207,268	52,030	23,527	28,503	51,240	23,132	28,108	790	395	395
2016.1/4	동작구	413,282	202,397	210,885	54,222	23,831	30,391	54,006	23,720	30,286	216	111	105
2016.1/4	관악구	530,072	267,390	262,682	65,772	29,688	36,084	65,407	29,520	35,887	365	168	197
2016.1/4	서초구	450,085	216,403	233,682	49,805	22,628	27,177	49,680	22,580	27,100	125	48	77
2016.1/4	강남구	578,862	277,575	301,287	60,958	27,405	33,553	60,807	27,339	33,468	151	66	85
2016.1/4	송파구	663,904	324,076	339,828	68,987	31,589	37,398	68,812	31,512	37,300	175	77	98
2016.1/4	강동구	459,750	228,978	230,772	52,401	23,707	28,694	52,293	23,650	28,643	108	57	51
