기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017.1/4	합계	10,197,604	5,000,005	5,197,599	1,321,458	582,409	739,049	1,315,717	579,415	736,302	5,741	2,994	2,747
2017.1/4	종로구	162,820	79,675	83,145	25,425	11,120	14,305	25,271	11,034	14,237	154	86	68
2017.1/4	중구	133,240	65,790	67,450	20,764	9,065	11,699	20,519	8,934	11,585	245	131	114
2017.1/4	용산구	244,203	119,132	125,071	36,231	15,227	21,004	35,807	14,963	20,844	424	264	160
2017.1/4	성동구	311,244	153,768	157,476	39,997	17,378	22,619	39,856	17,297	22,559	141	81	60
2017.1/4	광진구	372,164	180,992	191,172	42,214	18,772	23,442	42,035	18,675	23,360	179	97	82
2017.1/4	동대문구	369,496	182,932	186,564	54,173	23,963	30,210	53,986	23,873	30,113	187	90	97
2017.1/4	중랑구	414,503	206,102	208,401	56,774	25,117	31,657	56,682	25,072	31,610	92	45	47
2017.1/4	성북구	461,260	224,076	237,184	64,692	27,900	36,792	64,547	27,832	36,715	145	68	77
2017.1/4	강북구	330,192	161,686	168,506	54,813	23,623	31,190	54,716	23,578	31,138	97	45	52
2017.1/4	도봉구	348,646	171,026	177,620	51,312	22,693	28,619	51,261	22,669	28,592	51	24	27
2017.1/4	노원구	569,384	276,823	292,561	71,941	29,760	42,181	71,862	29,721	42,141	79	39	40
2017.1/4	은평구	494,388	240,220	254,168	72,334	31,397	40,937	72,160	31,311	40,849	174	86	88
2017.1/4	서대문구	327,163	156,765	170,398	48,161	20,289	27,872	47,771	20,103	27,668	390	186	204
2017.1/4	마포구	389,649	185,889	203,760	48,765	20,507	28,258	48,492	20,369	28,123	273	138	135
2017.1/4	양천구	479,978	237,117	242,861	52,975	23,547	29,428	52,860	23,477	29,383	115	70	45
2017.1/4	강서구	603,772	294,433	309,339	72,548	31,961	40,587	72,347	31,841	40,506	201	120	81
2017.1/4	구로구	447,874	224,436	223,438	56,833	26,183	30,650	56,192	25,843	30,349	641	340	301
2017.1/4	금천구	255,082	130,558	124,524	32,970	15,014	17,956	32,607	14,823	17,784	363	191	172
2017.1/4	영등포구	402,985	202,573	200,412	52,413	23,634	28,779	51,644	23,236	28,408	769	398	371
2017.1/4	동작구	412,520	201,217	211,303	56,013	24,458	31,555	55,806	24,355	31,451	207	103	104
2017.1/4	관악구	525,515	264,763	260,752	68,082	30,694	37,388	67,737	30,536	37,201	345	158	187
2017.1/4	서초구	450,310	216,264	234,046	51,733	23,501	28,232	51,638	23,456	28,182	95	45	50
2017.1/4	강남구	570,500	273,301	297,199	63,167	28,515	34,652	63,046	28,453	34,593	121	62	59
2017.1/4	송파구	667,483	325,040	342,443	72,506	33,299	39,207	72,343	33,220	39,123	163	79	84
2017.1/4	강동구	453,233	225,427	227,806	54,622	24,792	29,830	54,532	24,744	29,788	90	48	42
