기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018.1/4	합계	10,112,070	4,948,481	5,163,589	1,382,420	610,263	772,157	1,376,261	607,029	769,232	6,159	3,234	2,925
2018.1/4	종로구	164,348	79,962	84,386	26,429	11,593	14,836	26,254	11,496	14,758	175	97	78
2018.1/4	중구	135,139	66,582	68,557	21,655	9,486	12,169	21,396	9,347	12,049	259	139	120
2018.1/4	용산구	245,411	119,985	125,426	37,238	15,684	21,554	36,783	15,405	21,378	455	279	176
2018.1/4	성동구	314,551	154,672	159,879	41,752	18,177	23,575	41,608	18,093	23,515	144	84	60
2018.1/4	광진구	371,671	180,206	191,465	44,470	19,797	24,673	44,273	19,698	24,575	197	99	98
2018.1/4	동대문구	364,962	180,381	184,581	56,284	24,925	31,359	56,086	24,835	31,251	198	90	108
2018.1/4	중랑구	411,552	204,411	207,141	59,992	26,691	33,301	59,897	26,644	33,253	95	47	48
2018.1/4	성북구	453,902	220,024	233,878	66,896	28,861	38,035	66,745	28,789	37,956	151	72	79
2018.1/4	강북구	327,511	159,853	167,658	57,002	24,511	32,491	56,898	24,462	32,436	104	49	55
2018.1/4	도봉구	345,041	168,833	176,208	54,293	24,100	30,193	54,247	24,077	30,170	46	23	23
2018.1/4	노원구	555,803	269,762	286,041	75,081	31,264	43,817	75,015	31,233	43,782	66	31	35
2018.1/4	은평구	490,253	237,542	252,711	75,535	32,761	42,774	75,369	32,679	42,690	166	82	84
2018.1/4	서대문구	324,871	154,960	169,911	49,645	20,978	28,667	49,237	20,776	28,461	408	202	206
2018.1/4	마포구	385,624	182,905	202,719	50,122	21,011	29,111	49,815	20,852	28,963	307	159	148
2018.1/4	양천구	473,087	233,189	239,898	56,070	25,043	31,027	55,960	24,987	30,973	110	56	54
2018.1/4	강서구	608,361	296,098	312,263	77,381	34,211	43,170	77,152	34,076	43,076	229	135	94
2018.1/4	구로구	440,396	220,903	219,493	59,838	27,579	32,259	59,107	27,169	31,938	731	410	321
2018.1/4	금천구	253,344	129,791	123,553	34,640	15,786	18,854	34,234	15,572	18,662	406	214	192
2018.1/4	영등포구	403,988	203,472	200,516	54,704	24,750	29,954	53,886	24,313	29,573	818	437	381
2018.1/4	동작구	406,715	197,848	208,867	57,711	25,201	32,510	57,489	25,092	32,397	222	109	113
2018.1/4	관악구	522,292	262,428	259,864	70,807	31,780	39,027	70,425	31,599	38,826	382	181	201
2018.1/4	서초구	445,164	213,279	231,885	54,055	24,494	29,561	53,960	24,445	29,515	95	49	46
2018.1/4	강남구	557,865	267,314	290,551	65,859	29,656	36,203	65,725	29,591	36,134	134	65	69
2018.1/4	송파구	671,994	326,511	345,483	77,978	35,932	42,046	77,816	35,851	41,965	162	81	81
2018.1/4	강동구	438,225	217,570	220,655	56,983	25,992	30,991	56,884	25,948	30,936	99	44	55
