기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019.1/4	합계	10,054,979	4,909,387	5,145,592	1,436,125	634,125	802,000	1,429,163	630,451	798,712	6,962	3,674	3,288
2019.1/4	종로구	162,913	78,963	83,950	26,981	11,922	15,059	26,776	11,805	14,971	205	117	88
2019.1/4	중구	135,836	66,720	69,116	22,421	9,826	12,595	22,120	9,660	12,460	301	166	135
2019.1/4	용산구	245,139	119,597	125,542	38,049	16,061	21,988	37,564	15,768	21,796	485	293	192
2019.1/4	성동구	314,608	154,011	160,597	43,076	18,743	24,333	42,916	18,655	24,261	160	88	72
2019.1/4	광진구	370,658	179,162	191,496	46,288	20,606	25,682	46,062	20,492	25,570	226	114	112
2019.1/4	동대문구	363,262	179,100	184,162	57,570	25,583	31,987	57,377	25,498	31,879	193	85	108
2019.1/4	중랑구	407,211	201,808	205,403	62,789	27,940	34,849	62,690	27,891	34,799	99	49	50
2019.1/4	성북구	450,021	217,400	232,621	68,612	29,525	39,087	68,453	29,447	39,006	159	78	81
2019.1/4	강북구	321,151	156,525	164,626	58,858	25,302	33,556	58,747	25,248	33,499	111	54	57
2019.1/4	도봉구	340,089	166,218	173,871	56,742	25,239	31,503	56,691	25,210	31,481	51	29	22
2019.1/4	노원구	545,486	264,460	281,026	78,170	32,790	45,380	78,094	32,759	45,335	76	31	45
2019.1/4	은평구	488,713	235,925	252,788	78,406	33,974	44,432	78,228	33,886	44,342	178	88	90
2019.1/4	서대문구	324,604	154,410	170,194	51,085	21,637	29,448	50,619	21,401	29,218	466	236	230
2019.1/4	마포구	386,571	182,249	204,322	51,293	21,463	29,830	50,951	21,293	29,658	342	170	172
2019.1/4	양천구	466,622	229,486	237,136	58,930	26,352	32,578	58,813	26,293	32,520	117	59	58
2019.1/4	강서구	602,886	292,646	310,240	80,903	35,732	45,171	80,647	35,575	45,072	256	157	99
2019.1/4	구로구	438,889	220,013	218,876	63,017	28,916	34,101	62,129	28,426	33,703	888	490	398
2019.1/4	금천구	254,244	130,503	123,741	36,301	16,560	19,741	35,817	16,299	19,518	484	261	223
2019.1/4	영등포구	404,556	203,579	200,977	56,463	25,515	30,948	55,510	25,008	30,502	953	507	446
2019.1/4	동작구	412,031	199,526	212,505	60,462	26,332	34,130	60,211	26,206	34,005	251	126	125
2019.1/4	관악구	520,645	260,919	259,726	73,005	32,605	40,400	72,578	32,398	40,180	427	207	220
2019.1/4	서초구	437,007	209,329	227,678	55,366	25,077	30,289	55,262	25,020	30,242	104	57	47
2019.1/4	강남구	546,875	262,082	284,793	68,104	30,605	37,499	67,963	30,534	37,429	141	71	70
2019.1/4	송파구	685,361	332,367	352,994	83,492	38,623	44,869	83,315	38,533	44,782	177	90	87
2019.1/4	강동구	429,601	212,389	217,212	59,742	27,197	32,545	59,630	27,146	32,484	112	51	61
