기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2014.1/4	합계	10,385,494	5,122,507	5,262,987	1,183,979	519,217	664,762	1,178,004	516,439	661,565	5,975	2,778	3,197
2014.1/4	종로구	167,350	82,845	84,505	24,237	10,668	13,569	24,068	10,573	13,495	169	95	74
2014.1/4	중구	137,466	68,721	68,745	19,581	8,382	11,199	19,351	8,267	11,084	230	115	115
2014.1/4	용산구	251,651	122,882	128,769	34,357	14,452	19,905	34,083	14,296	19,787	274	156	118
2014.1/4	성동구	306,597	152,691	153,906	35,863	15,533	20,330	35,719	15,478	20,241	144	55	89
2014.1/4	광진구	381,017	187,140	193,877	38,075	16,955	21,120	37,850	16,851	20,999	225	104	121
2014.1/4	동대문구	375,709	187,701	188,008	49,664	21,843	27,821	49,469	21,755	27,714	195	88	107
2014.1/4	중랑구	422,930	211,180	211,750	49,935	21,969	27,966	49,847	21,933	27,914	88	36	52
2014.1/4	성북구	484,786	237,678	247,108	61,058	26,396	34,662	60,900	26,329	34,571	158	67	91
2014.1/4	강북구	340,418	167,685	172,733	49,173	21,552	27,621	49,082	21,515	27,567	91	37	54
2014.1/4	도봉구	359,731	177,381	182,350	45,067	19,840	25,227	45,025	19,817	25,208	42	23	19
2014.1/4	노원구	591,596	288,735	302,861	64,564	26,256	38,308	64,479	26,215	38,264	85	41	44
2014.1/4	은평구	506,560	247,845	258,715	65,080	28,356	36,724	64,928	28,289	36,639	152	67	85
2014.1/4	서대문구	324,080	157,283	166,797	44,377	18,768	25,609	44,008	18,598	25,410	369	170	199
2014.1/4	마포구	391,177	188,765	202,412	46,283	19,548	26,735	45,991	19,415	26,576	292	133	159
2014.1/4	양천구	495,761	246,048	249,713	46,710	20,229	26,481	46,576	20,164	26,412	134	65	69
2014.1/4	강서구	574,594	282,032	292,562	60,450	26,220	34,230	60,246	26,106	34,140	204	114	90
2014.1/4	구로구	454,161	228,515	225,646	49,155	22,568	26,587	48,441	22,239	26,202	714	329	385
2014.1/4	금천구	257,662	132,357	125,305	28,711	12,967	15,744	28,321	12,779	15,542	390	188	202
2014.1/4	영등포구	420,898	211,974	208,924	48,808	21,976	26,832	47,985	21,611	26,374	823	365	458
2014.1/4	동작구	421,990	207,427	214,563	50,790	22,352	28,438	50,572	22,259	28,313	218	93	125
2014.1/4	관악구	534,868	270,369	264,499	60,590	27,361	33,229	60,191	27,190	33,001	399	171	228
2014.1/4	서초구	448,263	216,444	231,819	45,422	20,676	24,746	45,285	20,619	24,666	137	57	80
2014.1/4	강남구	570,701	274,218	296,483	54,518	24,398	30,120	54,336	24,313	30,023	182	85	97
2014.1/4	송파구	678,912	331,843	347,069	63,004	28,336	34,668	62,845	28,268	34,577	159	68	91
2014.1/4	강동구	486,616	242,748	243,868	48,507	21,616	26,891	48,406	21,560	26,846	101	56	45
