기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2015.1/4	합계	10,369,067	5,106,034	5,263,033	1,239,431	545,260	694,171	1,233,528	542,329	691,199	5,903	2,931	2,972
2015.1/4	종로구	165,240	81,256	83,984	24,712	10,836	13,876	24,543	10,744	13,799	169	92	77
2015.1/4	중구	136,063	67,858	68,205	20,132	8,667	11,465	19,882	8,550	11,332	250	117	133
2015.1/4	용산구	250,003	122,096	127,907	35,359	14,921	20,438	34,960	14,681	20,279	399	240	159
2015.1/4	성동구	303,777	151,003	152,774	37,162	16,193	20,969	37,012	16,121	20,891	150	72	78
2015.1/4	광진구	377,204	184,750	192,454	39,469	17,631	21,838	39,264	17,528	21,736	205	103	102
2015.1/4	동대문구	376,329	187,486	188,843	51,559	22,761	28,798	51,373	22,677	28,696	186	84	102
2015.1/4	중랑구	422,825	210,811	212,014	52,818	23,299	29,519	52,738	23,258	29,480	80	41	39
2015.1/4	성북구	475,900	232,809	243,091	62,695	27,127	35,568	62,537	27,056	35,481	158	71	87
2015.1/4	강북구	337,996	166,245	171,751	51,531	22,359	29,172	51,429	22,315	29,114	102	44	58
2015.1/4	도봉구	355,282	174,971	180,311	47,100	20,791	26,309	47,064	20,770	26,294	36	21	15
2015.1/4	노원구	584,630	285,023	299,607	67,297	27,614	39,683	67,222	27,579	39,643	75	35	40
2015.1/4	은평구	504,165	246,293	257,872	67,939	29,668	38,271	67,788	29,597	38,191	151	71	80
2015.1/4	서대문구	319,938	154,723	165,215	45,771	19,330	26,441	45,416	19,163	26,253	355	167	188
2015.1/4	마포구	398,649	191,897	206,752	47,884	20,199	27,685	47,598	20,066	27,532	286	133	153
2015.1/4	양천구	490,745	243,126	247,619	49,027	21,453	27,574	48,895	21,376	27,519	132	77	55
2015.1/4	강서구	593,703	290,542	303,161	65,420	28,593	36,827	65,222	28,478	36,744	198	115	83
2015.1/4	구로구	457,390	230,061	227,329	52,157	24,005	28,152	51,495	23,660	27,835	662	345	317
2015.1/4	금천구	258,099	132,475	125,624	30,173	13,664	16,509	29,794	13,468	16,326	379	196	183
2015.1/4	영등포구	421,871	212,467	209,404	50,699	22,922	27,777	49,915	22,531	27,384	784	391	393
2015.1/4	동작구	419,460	205,978	213,482	53,074	23,326	29,748	52,858	23,226	29,632	216	100	116
2015.1/4	관악구	533,109	269,144	263,965	63,576	28,698	34,878	63,211	28,533	34,678	365	165	200
2015.1/4	서초구	453,564	218,520	235,044	48,066	21,862	26,204	47,933	21,806	26,127	133	56	77
2015.1/4	강남구	583,699	280,195	303,504	58,496	26,232	32,264	58,334	26,162	32,172	162	70	92
2015.1/4	송파구	672,371	328,531	343,840	66,322	30,205	36,117	66,154	30,130	36,024	168	75	93
2015.1/4	강동구	477,055	237,774	239,281	50,993	22,904	28,089	50,891	22,854	28,037	102	50	52
