기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012.1/4	합계	10,519,780	5,202,479	5,317,301	1,071,161	465,738	605,423	1,065,727	463,117	602,610	5,434	2,621	2,813
2012.1/4	종로구	176,766	87,774	88,992	23,300	10,159	13,141	23,153	10,078	13,075	147	81	66
2012.1/4	중구	143,727	72,210	71,517	18,546	7,837	10,709	18,353	7,745	10,608	193	92	101
2012.1/4	용산구	258,374	126,239	132,135	32,230	13,516	18,714	31,974	13,369	18,605	256	147	109
2012.1/4	성동구	308,020	154,187	153,833	33,341	14,304	19,037	33,216	14,247	18,969	125	57	68
2012.1/4	광진구	386,283	190,593	195,690	34,340	15,207	19,133	34,109	15,084	19,025	231	123	108
2012.1/4	동대문구	378,791	189,689	189,102	45,141	19,908	25,233	44,975	19,834	25,141	166	74	92
2012.1/4	중랑구	427,522	213,697	213,825	44,801	19,548	25,253	44,723	19,513	25,210	78	35	43
2012.1/4	성북구	493,973	243,328	250,645	56,146	24,282	31,864	55,989	24,207	31,782	157	75	82
2012.1/4	강북구	349,569	172,594	176,975	44,480	19,565	24,915	44,411	19,530	24,881	69	35	34
2012.1/4	도봉구	366,821	181,248	185,573	40,587	17,692	22,895	40,551	17,676	22,875	36	16	20
2012.1/4	노원구	606,399	296,563	309,836	59,520	23,823	35,697	59,450	23,792	35,658	70	31	39
2012.1/4	은평구	503,115	246,967	256,148	58,110	25,360	32,750	57,977	25,298	32,679	133	62	71
2012.1/4	서대문구	322,617	157,119	165,498	40,580	17,174	23,406	40,239	17,021	23,218	341	153	188
2012.1/4	마포구	397,736	192,897	204,839	43,322	18,411	24,911	43,068	18,297	24,771	254	114	140
2012.1/4	양천구	504,339	250,749	253,590	41,896	17,689	24,207	41,781	17,629	24,152	115	60	55
2012.1/4	강서구	575,205	283,166	292,039	53,474	22,676	30,798	53,295	22,579	30,716	179	97	82
2012.1/4	구로구	458,935	231,933	227,002	43,154	19,501	23,653	42,525	19,207	23,318	629	294	335
2012.1/4	금천구	264,299	135,715	128,584	25,793	11,527	14,266	25,388	11,322	14,066	405	205	200
2012.1/4	영등포구	437,116	220,435	216,681	44,854	20,074	24,780	44,078	19,698	24,380	776	376	400
2012.1/4	동작구	413,994	203,456	210,538	45,250	19,941	25,309	45,068	19,862	25,206	182	79	103
2012.1/4	관악구	545,971	276,435	269,536	54,194	24,442	29,752	53,843	24,286	29,557	351	156	195
2012.1/4	서초구	441,160	213,738	227,422	40,040	18,215	21,825	39,915	18,156	21,759	125	59	66
2012.1/4	강남구	570,824	274,780	296,044	48,153	21,301	26,852	47,994	21,221	26,773	159	80	79
2012.1/4	송파구	690,312	338,071	352,241	56,796	24,889	31,907	56,639	24,814	31,825	157	75	82
2012.1/4	강동구	497,912	248,896	249,016	43,113	18,697	24,416	43,013	18,652	24,361	100	45	55
